movie,director,relation
画壁,陈嘉上,DirectBy
人民的名义,李路,DirectBy
桃姐,许鞍华,DirectBy
十月围城,陈德森,DirectBy
杀生,管虎,DirectBy
路边野餐,毕赣,DirectBy
人鬼情未了 Ghost,杰瑞·扎克,DirectBy
小姐 아가씨,朴赞郁,DirectBy
听说 聽說,郑芬芬,DirectBy
赤壁(下),吴宇森,DirectBy
此房是我造 The House That Jack Built,拉斯·冯·提尔,DirectBy
城市之光 City Lights,查理·卓别林,DirectBy
太阳的后裔 태양의 후예,李应福,DirectBy
穆赫兰道 Mulholland Dr.,大卫·林奇,DirectBy
新世界 신세계,朴勋政,DirectBy
昼颜 昼顔,西谷弘,DirectBy
手机,冯小刚,DirectBy
鬼吹灯之精绝古城,孔笙,DirectBy
鬼吹灯之精绝古城,周游,DirectBy
鬼吹灯之精绝古城,孙墨龙,DirectBy
黄金时代,许鞍华,DirectBy
黑镜：潘达斯奈基 Black Mirror: Bandersnatch,大卫·斯雷德,DirectBy
京城81号,叶伟民,DirectBy
古董局中局,五百,DirectBy
古董局中局,余庆,DirectBy
扫毒 掃毒,陈木胜,DirectBy
一次别离 جدایی نادر از سیمین,阿斯哈·法哈蒂,DirectBy
可可西里,陆川,DirectBy
萨利机长 Sully,克林特·伊斯特伍德,DirectBy
一一,杨德昌,DirectBy
绿巨人浩克 Hulk,李安,DirectBy
门徒 門徒,尔冬升,DirectBy
步步惊心,李国立,DirectBy
歌舞青春 High School Musical,肯尼·奥特加,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,D·B·威斯,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,艾利克斯·格雷夫斯,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,米歇尔·麦克拉伦,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,埃里克·萨哈罗夫,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,尼尔·马歇尔,DirectBy
大红灯笼高高挂,张艺谋,DirectBy
激战 激戰,林超贤,DirectBy
悲惨世界 Les Misérables,汤姆·森兰,DirectBy
非常嫌疑犯 The Usual Suspects,布莱恩·辛格,DirectBy
我脑中的橡皮擦 내 머리 속의 지우개,李宰汉,DirectBy
浪潮 Die Welle,丹尼斯·甘塞尔,DirectBy
百万美元宝贝 Million Dollar Baby,克林特·伊斯特伍德,DirectBy
刺客聂隐娘,侯孝贤,DirectBy
龙虾 The Lobster,欧格斯·兰斯莫斯,DirectBy
女孩 Girl,卢卡斯·德霍特,DirectBy
英国病人 The English Patient,安东尼·明格拉,DirectBy
Hello！树先生,韩杰,DirectBy
卡罗尔 Carol,托德·海因斯,DirectBy
悲惨世界 Les Misérables,汤姆·霍珀,DirectBy
调音师 L'accordeur,奥利维耶·特雷内,DirectBy
无极,陈凯歌,DirectBy
月光男孩 Moonlight,巴里·詹金斯,DirectBy
狂怒 Fury,大卫·阿耶,DirectBy
一个勺子,陈建斌,DirectBy
胜者即是正义 リーガル・ハイ,石川淳一,DirectBy
胜者即是正义 リーガル・ハイ,城宝秀则,DirectBy
老无所依 No Country for Old Men,伊桑·科恩,DirectBy
老无所依 No Country for Old Men,乔尔·科恩,DirectBy
"纳尼亚传奇1：狮子、女巫和魔衣橱 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",安德鲁·亚当森,DirectBy
隧道 터널,金成勋,DirectBy
蒂凡尼的早餐 Breakfast at Tiffany's,布莱克·爱德华兹,DirectBy
神探夏洛克 第四季 Sherlock Season 4,瑞秋·塔拉蕾,DirectBy
神探夏洛克 第四季 Sherlock Season 4,尼克·赫伦,DirectBy
神探夏洛克 第四季 Sherlock Season 4,本·卡隆,DirectBy
我是山姆 I Am Sam,杰茜·尼尔森,DirectBy
鸟人 Birdman or (The Unexpected Virtue of Ignorance),亚利桑德罗·冈萨雷斯·伊纳里图,DirectBy
登月第一人 First Man,达米恩·查泽雷,DirectBy
警察故事2013,丁晟,DirectBy
牯岭街少年杀人事件 牯嶺街少年殺人事件,杨德昌,DirectBy
情人 L'amant,让-雅克·阿诺,DirectBy
为奴十二年 12 Years a Slave,史蒂夫·麦奎因,DirectBy
革命之路 Revolutionary Road,萨姆·门德斯,DirectBy
宫锁沉香,潘安子,DirectBy
七武士 七人の侍,黑泽明,DirectBy
欢乐颂,孔笙,DirectBy
欢乐颂,简川訸,DirectBy
深夜食堂2 続・深夜食堂,松冈锭司,DirectBy
黄飞鸿之英雄有梦,周显扬,DirectBy
蓝色大门 藍色大門,易智言,DirectBy
BJ单身日记 Bridget Jones's Diary,莎伦·马奎尔,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,阿兰·泰勒,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,埃里克·萨哈罗夫,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,大卫·彼特拉克,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,大卫·努特尔,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,尼尔·马歇尔,DirectBy
丹麦女孩 The Danish Girl,汤姆·霍珀,DirectBy
权力的游戏 第七季 Game of Thrones Season 7,杰雷米·波德斯瓦,DirectBy
权力的游戏 第七季 Game of Thrones Season 7,马克·米罗,DirectBy
权力的游戏 第七季 Game of Thrones Season 7,马特·沙克曼,DirectBy
权力的游戏 第七季 Game of Thrones Season 7,阿兰·泰勒,DirectBy
飓风营救 Taken,皮埃尔·莫瑞尔,DirectBy
起风了 風立ちぬ,宫崎骏,DirectBy
倩女幽魂,叶伟信,DirectBy
一个小忙 A Simple Favor,保罗·费格,DirectBy
如懿传,汪俊,DirectBy
黑色党徒 BlacKkKlansman,斯派克·李,DirectBy
太阳照常升起,姜文,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,丹尼尔·米纳汉,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,戴维·贝尼奥夫,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,艾利克斯·格雷夫斯,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,埃里克·萨哈罗夫,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,米歇尔·麦克拉伦,DirectBy
权力的游戏 第三季 Game of Thrones Season 3,大卫·努特尔,DirectBy
我是路人甲,尔冬升,DirectBy
伪装者,李雪,DirectBy
赎罪 Atonement,乔·赖特,DirectBy
暗杀 암살,崔东勋,DirectBy
卖房子的女人的逆袭 家売るオンナの逆襲,猪股隆一,DirectBy
卖房子的女人的逆袭 家売るオンナの逆襲,久保田充,DirectBy
权力的游戏 第六季 Game of Thrones Season 6,杰雷米·波德斯瓦,DirectBy
权力的游戏 第六季 Game of Thrones Season 6,杰克·本德,DirectBy
权力的游戏 第六季 Game of Thrones Season 6,马克·米罗,DirectBy
权力的游戏 第六季 Game of Thrones Season 6,丹尼尔·沙克海姆,DirectBy
权力的游戏 第六季 Game of Thrones Season 6,米格尔·萨普什尼克,DirectBy
斗牛,管虎,DirectBy
暴雪将至,董越,DirectBy
名侦探柯南：瞳孔中的暗杀者 名探偵コナン 瞳の中の暗殺者,儿玉兼嗣,DirectBy
爱在暹罗 รักแห่งสยาม,楚克·萨克瑞科,DirectBy
十面埋伏,张艺谋,DirectBy
冈仁波齐,张杨,DirectBy
暗战 暗戰,杜琪峰,DirectBy
宝贝儿,刘杰,DirectBy
推拿,娄烨,DirectBy
有话好好说,张艺谋,DirectBy
小岛惊魂 The Others,亚历杭德罗·阿梅纳瓦尔,DirectBy
英雄本色2,吴宇森,DirectBy
一吻定情 イタズラなKiss～Love in TOKYO,永田琴,DirectBy
一吻定情 イタズラなKiss～Love in TOKYO,阿部雅和,DirectBy
一吻定情 イタズラなKiss～Love in TOKYO,川野浩司,DirectBy
夜宴,冯小刚,DirectBy
晚秋 만추,金泰勇,DirectBy
绿里奇迹 The Green Mile,弗兰克·德拉邦特,DirectBy
卢旺达饭店 Hotel Rwanda,特瑞·乔治,DirectBy
神探夏洛克  第二季 Sherlock Season 2,保罗·麦奎根,DirectBy
神探夏洛克  第二季 Sherlock Season 2,托比·海恩斯,DirectBy
真探 第一季 True Detective Season 1,凯瑞·福永,DirectBy
潘神的迷宫 El laberinto del fauno,吉尔莫·德尔·托罗,DirectBy
健忘村,陈玉勋,DirectBy
阳光小美女 Little Miss Sunshine,乔纳森·戴顿,DirectBy
阳光小美女 Little Miss Sunshine,维莱莉·法瑞斯,DirectBy
大空头 The Big Short,亚当·麦凯,DirectBy
天盛长歌,沈严,DirectBy
天盛长歌,刘海波,DirectBy
卡萨布兰卡 Casablanca,迈克尔·柯蒂兹,DirectBy
情癫大圣,刘镇伟,DirectBy
南京！南京！,陆川,DirectBy
霍元甲,于仁泰,DirectBy
信号 시그널,金元锡,DirectBy
兵临城下 Enemy at the Gates,让-雅克·阿诺,DirectBy
匹诺曹 피노키오,赵秀沅,DirectBy
匹诺曹 피노키오,申承佑,DirectBy
雏菊 데이지,刘伟强,DirectBy
比海更深 海よりもまだ深く,是枝裕和,DirectBy
弱点 The Blind Side,约翰·李·汉考克,DirectBy
旺角卡门 旺角卡門,王家卫,DirectBy
精武英雄,陈嘉上,DirectBy
权力的游戏 第五季 Game of Thrones Season 5,迈克尔·斯劳韦斯,DirectBy
权力的游戏 第五季 Game of Thrones Season 5,马克·米罗,DirectBy
权力的游戏 第五季 Game of Thrones Season 5,杰雷米·波德斯瓦,DirectBy
权力的游戏 第五季 Game of Thrones Season 5,米格尔·萨普什尼克,DirectBy
权力的游戏 第五季 Game of Thrones Season 5,大卫·努特尔,DirectBy
还珠格格 還珠格格,孙树培,DirectBy
举重妖精金福珠 역도요정 김복주,吴贤钟,DirectBy
东京物语 東京物語,小津安二郎,DirectBy
地球上的星星 Taare Zameen Par,阿米尔·汗,DirectBy
梦之安魂曲 Requiem for a Dream,达伦·阿伦诺夫斯基,DirectBy
"如晴天，似雨天 Like Sunday, Like Rain",弗兰克·威利,DirectBy
机械师 The Mechanic,西蒙·韦斯特,DirectBy
你好，疯子！,饶晓志,DirectBy
深夜食堂电影版 映画 深夜食堂,松冈锭司,DirectBy
午夜巴黎 Midnight in Paris,伍迪·艾伦,DirectBy
余罪 第一季,张睿,DirectBy
枪火 鎗火,杜琪峰,DirectBy
现在去见你 지금 만나러 갑니다,李章焄,DirectBy
三生三世十里桃花,林玉芬,DirectBy
三生三世十里桃花,余翠华,DirectBy
新少林寺,陈木胜,DirectBy
大卫·戈尔的一生 The Life of David Gale,艾伦·帕克,DirectBy
艺伎回忆录 Memoirs of a Geisha,罗伯·马歇尔,DirectBy
三毛从军记,张建亚,DirectBy
黑镜 第一季 Black Mirror Season 1,OttoBathurst,DirectBy
黑镜 第一季 Black Mirror Season 1,尤洛斯·林,DirectBy
黑镜 第一季 Black Mirror Season 1,BrianWelsh,DirectBy
嫌疑人X的献身 容疑者Xの献身,西谷弘,DirectBy
监狱风云 監獄風雲,林岭东,DirectBy
戏梦巴黎 The Dreamers,贝纳尔多·贝托鲁奇,DirectBy
内在美 뷰티인사이드,宋贤旭,DirectBy
我想和你好好的,李蔚然,DirectBy
万箭穿心,王竞,DirectBy
相爱相亲,张艾嘉,DirectBy
拆弹部队 The Hurt Locker,凯瑟琳·毕格罗,DirectBy
痞子英雄2：黎明升起 痞子英雄2：黎明再起,蔡岳勋,DirectBy
少年时代 Boyhood,理查德·林克莱特,DirectBy
燃情岁月 Legends of the Fall,爱德华·兹威克,DirectBy
空天猎,李晨,DirectBy
我的特工爷爷 特工爺爺,洪金宝,DirectBy
时间旅行者的妻子 The Time Traveler's Wife,罗伯特·斯文克,DirectBy
九色鹿,钱家骏,DirectBy
九色鹿,戴铁郎,DirectBy
三少爷的剑,尔冬升,DirectBy
泰山 Tarzan,ChrisBuck,DirectBy
泰山 Tarzan,KevinLima,DirectBy
阿黛尔的生活 La vie d'Adèle,阿布戴·柯西胥,DirectBy
廊桥遗梦 The Bridges of Madison County,克林特·伊斯特伍德,DirectBy
华盛顿邮报 The Post,史蒂文·斯皮尔伯格,DirectBy
我们诞生在中国 Born in China,陆川,DirectBy
羞耻 第三季 Skam Sesong 3,尤莉娅·安德姆,DirectBy
名侦探柯南：绀碧之棺 名探偵コナン 紺碧の棺,山本泰一郎,DirectBy
完美的世界 A Perfect World,克林特·伊斯特伍德,DirectBy
恐袭波士顿 Patriots Day,彼得·博格,DirectBy
剩者为王,落落,DirectBy
太平轮(下)·彼岸,吴宇森,DirectBy
星空,林书宇,DirectBy
重返十七岁 17 Again,布尔·斯蒂尔斯,DirectBy
角斗士 Gladiator,雷德利·斯科特,DirectBy
土拨鼠之日 Groundhog Day,哈罗德·雷米斯,DirectBy
痞子英雄之全面开战 痞子英雄,蔡岳勋,DirectBy
踏血寻梅 踏血尋梅,翁子光,DirectBy
蒙上你的眼 Bird Box,苏珊娜·比尔,DirectBy
追击者 추격자,罗泓轸,DirectBy
如果·爱,陈可辛,DirectBy
如果·爱,赵良骏,DirectBy
海洋之歌 Song of the Sea,汤姆·摩尔,DirectBy
阿尔法：狼伴归途 Alpha,艾尔伯特·休斯,DirectBy
功夫梦 The Karate Kid,哈罗德·兹瓦特,DirectBy
边境 Gräns,阿里·阿巴西,DirectBy
一树梨花压海棠 Lolita,阿德里安·莱恩,DirectBy
暴力街区 Brick Mansions,卡米尔·狄拉玛,DirectBy
猎凶风河谷 Wind River,泰勒·谢里丹,DirectBy
爱 愛,钮承泽,DirectBy
魅影缝匠 Phantom Thread,保罗·托马斯·安德森,DirectBy
你好，旧时光,沙漠,DirectBy
艋舺,钮承泽,DirectBy
朱诺 Juno,贾森·雷特曼,DirectBy
赤道,梁乐民,DirectBy
赤道,陆剑青,DirectBy
2046,王家卫,DirectBy
反贪风暴 Z風暴,林德禄,DirectBy
神探夏洛克 第三季 Sherlock Season 3,柯尔姆·麦卡锡,DirectBy
神探夏洛克 第三季 Sherlock Season 3,杰里米·洛夫林,DirectBy
神探夏洛克 第三季 Sherlock Season 3,尼克·赫伦,DirectBy
末路狂花 Thelma & Louise,雷德利·斯科特,DirectBy
战马 War Horse,史蒂文·斯皮尔伯格,DirectBy
西游记,杨洁,DirectBy
歌剧魅影 The Phantom of the Opera,乔·舒马赫,DirectBy
睡在我上铺的兄弟,张琦,DirectBy
八恶人 The Hateful Eight,昆汀·塔伦蒂诺,DirectBy
极速风流 Rush,朗·霍华德,DirectBy
太平轮(上),吴宇森,DirectBy
招魂2 The Conjuring 2,温子仁,DirectBy
一拳超人 第二季 ワンパンマン 2期,樱井亲良,DirectBy
致我们单纯的小美好,唐彬,DirectBy
致我们单纯的小美好,杨龙,DirectBy
鼠来宝 Alvin and the Chipmunks,蒂姆·希尔,DirectBy
皇家酒店谋杀案 Bad Times at the El Royale,德鲁·高达,DirectBy
虹猫蓝兔七侠传,王宏,DirectBy
虹猫蓝兔七侠传,罗沐,DirectBy
虹猫蓝兔七侠传,许龙,DirectBy
虹猫蓝兔七侠传,徐艳娜,DirectBy
虹猫蓝兔七侠传,江莉,DirectBy
虹猫蓝兔七侠传,艾慕华,DirectBy
虹猫蓝兔七侠传,张建和,DirectBy
虹猫蓝兔七侠传,周韧峰,DirectBy
虹猫蓝兔七侠传,颜雷鸣,DirectBy
虹猫蓝兔七侠传,赵玉碧,DirectBy
虹猫蓝兔七侠传,朱海燕,DirectBy
大魔术师 大魔術師,尔冬升,DirectBy
四重奏 カルテット,土井裕泰,DirectBy
四重奏 カルテット,金子文纪,DirectBy
四重奏 カルテット,坪井敏雄,DirectBy
国家破产之日 국가부도의 날,崔国熙,DirectBy
金福南杀人事件始末 김복남 살인사건의 전말,张哲洙,DirectBy
听风者,麦兆辉,DirectBy
听风者,庄文强,DirectBy
壁花少年 The Perks of Being a Wallflower,斯蒂芬·卓博斯基,DirectBy
河神,田里,DirectBy
神探夏洛克：最后的誓言 Sherlock: His Last Vow,尼克·赫伦,DirectBy
边境杀手 Sicario,丹尼斯·维伦纽瓦,DirectBy
僵尸 殭屍,麦浚龙,DirectBy
反贪风暴2 S風暴,林德禄,DirectBy
一纸婚约,张辉,DirectBy
冷战 Zimna wojna,帕维乌·帕夫利科夫斯基,DirectBy
烟花 打ち上げ花火、下から見るか？横から見るか？,新房昭之,DirectBy
烟花 打ち上げ花火、下から見るか？横から見るか？,武内宣之,DirectBy
新少林五祖,王晶,DirectBy
算死草,马伟豪,DirectBy
逆战,林超贤,DirectBy
黄海 황해,罗泓轸,DirectBy
亮剑,张前,DirectBy
亮剑,陈健,DirectBy
梅尔罗斯 Patrick Melrose,爱德华·贝尔格,DirectBy
贴身保镖 Bodyguard,托马斯·文森特,DirectBy
贴身保镖 Bodyguard,约翰·史翠兰,DirectBy
如父如子 そして父になる,是枝裕和,DirectBy
黑暗面 La cara oculta,安德烈斯·拜斯,DirectBy
西雅图未眠夜 Sleepless in Seattle,诺拉·艾芙隆,DirectBy
溺水小刀 溺れるナイフ,山户结希,DirectBy
歌舞青春2 High School Musical 2,肯尼·奥特加,DirectBy
一级恐惧 Primal Fear,格里高利·霍布里特,DirectBy
迷失东京 Lost in Translation,索菲亚·科波拉,DirectBy
开心家族 헬로우 고스트,金永卓,DirectBy
花木兰,马楚成,DirectBy
雨果 Hugo,马丁·斯科塞斯,DirectBy
飓风营救2 Taken 2,奥利维尔·米加顿,DirectBy
最佳出价 La migliore offerta,朱塞佩·托纳多雷,DirectBy
封神传奇,许安,DirectBy
神秘代码 Knowing,亚历克斯·普罗亚斯,DirectBy
落叶归根,张杨,DirectBy
副总统 Vice,亚当·麦凯,DirectBy
我爱你 그대를 사랑합니다,秋昌旼,DirectBy
最爱,顾长卫,DirectBy
百元之恋 百円の恋,武正晴,DirectBy
被抹去的男孩 Boy Erased,乔尔·埃哲顿,DirectBy
佛罗里达乐园 The Florida Project,肖恩·贝克,DirectBy
暖暖内含光 Eternal Sunshine of the Spotless Mind,米歇尔·贡德里,DirectBy
听见你的声音 너의 목소리가 들려,赵秀沅,DirectBy
龙虎门,叶伟信,DirectBy
美食、祈祷和恋爱 Eat Pray Love,瑞恩·墨菲,DirectBy
狼的孩子雨和雪 おおかみこどもの雨と雪,细田守,DirectBy
灵能百分百 II モブサイコ100 II,立川让,DirectBy
微微一笑很倾城,林玉芬,DirectBy
赛德克·巴莱 賽德克·巴萊,魏德圣,DirectBy
贤妻 The Wife,比约恩·荣格,DirectBy
极品飞车 Need for Speed,斯科特·沃,DirectBy
一念无明 一念無明,黄进,DirectBy
东邪西毒：终极版 東邪西毒終極版,王家卫,DirectBy
东京教父 東京ゴッドファーザーズ,今敏,DirectBy
危城,陈木胜,DirectBy
超时空接触 Contact,罗伯特·泽米吉斯,DirectBy
大白鲨 Jaws,史蒂文·斯皮尔伯格,DirectBy
飞行家 The Aviator,马丁·斯科塞斯,DirectBy
传奇的诞生 Pelé: Birth of a Legend,杰夫·泽姆巴利斯特,DirectBy
传奇的诞生 Pelé: Birth of a Legend,迈克尔·泽姆巴利斯特,DirectBy
人不彪悍枉少年,邓科,DirectBy
木偶奇遇记 Pinocchio,汉密尔顿·卢斯科,DirectBy
木偶奇遇记 Pinocchio,宾·沙普斯坦,DirectBy
二次曝光,李玉,DirectBy
水果硬糖 Hard Candy,大卫·斯雷德,DirectBy
中华英雄 中華英雄,刘伟强,DirectBy
纯洁心灵·逐梦演艺圈,毕志飞,DirectBy
人生遥控器 Click,弗兰克·克拉斯,DirectBy
歌舞青春3：毕业季 High School Musical 3: Senior Year,肯尼·奥特加,DirectBy
追风筝的人 The Kite Runner,马克·福斯特,DirectBy
恋空,今井夏木,DirectBy
醉乡民谣 Inside Llewyn Davis,伊桑·科恩,DirectBy
醉乡民谣 Inside Llewyn Davis,乔尔·科恩,DirectBy
琅琊榜之风起长林,孔笙,DirectBy
琅琊榜之风起长林,李雪,DirectBy
苦月亮 Bitter Moon,罗曼·波兰斯基,DirectBy
"继承者们 왕관을 쓰려는자, 그 무게를 견뎌라 - 상속자들",姜信孝,DirectBy
"继承者们 왕관을 쓰려는자, 그 무게를 견뎌라 - 상속자들",富圣哲,DirectBy
古惑仔3之只手遮天 古惑仔3之隻手遮天,刘伟强,DirectBy
勇往直前 Only the Brave,约瑟夫·科辛斯基,DirectBy
完美的他人 완벽한타인,李宰圭,DirectBy
线人 綫人,林超贤,DirectBy
三国之见龙卸甲,李仁港,DirectBy
苏州河,娄烨,DirectBy
海盗电台 The Boat That Rocked,理查德·柯蒂斯,DirectBy
天龙八部,鞠觉亮,DirectBy
天龙八部,周晓文,DirectBy
天龙八部,于敏,DirectBy
天龙八部,赵箭,DirectBy
活埋 Buried,罗德里戈·科尔特斯,DirectBy
将爱情进行到底,张一白,DirectBy
千年女优 千年女優,今敏,DirectBy
星运里的错 The Fault in Our Stars,约什·布恩,DirectBy
观音山,李玉,DirectBy
苹果,李玉,DirectBy
越狱 第一季 Prison Break Season 1,布莱特·拉特纳,DirectBy
还珠格格第二部 還珠格格第二部,李平,DirectBy
还珠格格第二部 還珠格格第二部,孙树培,DirectBy
濑户内海 セトウツミ,大森立嗣,DirectBy
白鹿原,王全安,DirectBy
大明王朝1566,张黎,DirectBy
明月几时有,许鞍华,DirectBy
极乐空间 Elysium,尼尔·布洛姆坎普,DirectBy
杜拉拉升职记,徐静蕾,DirectBy
冲出亚马逊,宋业明,DirectBy
媚者无疆,易军,DirectBy
戴珍珠耳环的少女 Girl with a Pearl Earring,彼得·韦柏,DirectBy
冒牌上尉 Der Hauptmann,罗伯特·斯文克,DirectBy
叫我第一名 Front of the Class,彼得·维纳,DirectBy
战长沙,孔笙,DirectBy
战长沙,张开宙,DirectBy
独自等待,伍仕贤,DirectBy
帝国的毁灭 Der Untergang,奥利弗·希施比格尔,DirectBy
夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,大森贵弘,DirectBy
夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,伊藤秀树,DirectBy
范海辛 Van Helsing,斯蒂芬·索莫斯,DirectBy
锦衣卫,李仁港,DirectBy
没关系，是爱情啊 괜찮아 사랑이야,金奎泰,DirectBy
爱情与灵药 Love & Other Drugs,爱德华·兹威克,DirectBy
赌神3之少年赌神 賭神3之少年賭神,王晶,DirectBy
红磨坊 Moulin Rouge!,巴兹·鲁赫曼,DirectBy
我的大叔 나의 아저씨,金元锡,DirectBy
喋血双雄,吴宇森,DirectBy
非常主播 과속스캔들,姜炯哲,DirectBy
忍者神龟 TMNT,KevinMunroe,DirectBy
推手,李安,DirectBy
一个陌生女人的来信,徐静蕾,DirectBy
亲切的金子 친절한 금자씨,朴赞郁,DirectBy
爱情公寓3,韦正,DirectBy
机器之血,张立嘉,DirectBy
王的男人 왕의남자,李濬益,DirectBy
孔子,胡玫,DirectBy
黑镜 第三季 Black Mirror Season 3,欧文·哈里斯,DirectBy
黑镜 第三季 Black Mirror Season 3,乔·赖特,DirectBy
黑镜 第三季 Black Mirror Season 3,詹姆斯·瓦特金斯,DirectBy
黑镜 第三季 Black Mirror Season 3,雅各布·维尔布鲁根,DirectBy
黑镜 第三季 Black Mirror Season 3,詹姆斯·哈维斯,DirectBy
黑镜 第三季 Black Mirror Season 3,丹·特拉亨伯格,DirectBy
成为简·奥斯汀 Becoming Jane,朱里安·杰拉德,DirectBy
情深深雨濛濛,李平,DirectBy
十二夜,林爱华,DirectBy
黑社会 黑社會,杜琪峰,DirectBy
